# Edges within set Cluster 3 (cluster_3)
# Motif: triangle
# Network: graph_300_650_80.0
# Number of nodes: 70
# Number of edges: 93

34716 14123
34716 27054
34716 34585
34716 46301
34716 47074
34716 51178
26322 10153
26322 27298
18778 18529
18778 51229
47581 10153
47581 14190
47581 21676
47581 27298
51218 30759
51218 46051
21677 17444
21677 39209
21677 42662
21677 46686
18089 30759
18089 46051
14889 10153
14889 39209
51178 9964
51178 42961
13811 22053
13811 27298
13811 39141
17444 42662
17444 46686
27298 10153
9646 26168
9646 50269
58728 38512
58728 42543
46673 27369
46673 43633
43497 27038
43497 50904
39141 22053
26803 18531
26803 27245
26803 42543
26771 14123
26771 26225
22449 21791
22449 34601
22449 55136
39209 10153
54433 34601
54433 38823
9580 26168
9580 50269
18531 27245
35045 26168
35045 50269
18529 51229
47074 14448
47074 26486
47074 34585
30759 46051
9964 42961
21791 55136
59684 26168
59684 50269
21676 14190
5423 22053
5423 27369
5423 34976
5423 42963
5423 46686
14448 26486
47726 27038
47726 50904
13518 18030
13518 38120
38120 18030
38512 42543
34976 18032
34976 42963
27038 50904
34585 27054
34585 46301
26225 14123
6700 5865
6700 42788
42963 18032
38823 34601
27369 43633
42788 5865
26168 50269
50269 43633
