# Edges within set Cluster 5 (cluster_5)
# Motif: triangle
# Network: graph_300_650_80.0
# Number of nodes: 59
# Number of edges: 66

50270 31004
50270 35313
42145 13998
42145 34400
23023 10291
23023 38130
51356 34343
51356 43113
54815 17697
54815 59689
10159 42389
10159 55000
22242 18466
22242 43096
34385 26361
34385 42198
10158 23198
10158 25815
10158 34066
10158 42653
35313 31004
25815 23198
47718 34220
47718 54746
26361 42198
26361 43096
42389 55000
38130 10291
50970 5419
50970 34775
50970 51678
51678 5419
26142 37919
26142 50974
50974 37919
14055 34775
14055 47407
14057 31004
46563 13998
46563 34400
35150 34408
35150 54573
18466 43096
46766 30802
46766 42469
17691 22372
17691 47140
34066 29603
34066 30802
34066 42469
34066 42653
34775 47407
46757 18344
46757 59171
13998 34400
59172 17643
59172 30896
54573 34408
29603 30802
42469 30802
30896 17643
22372 47140
59171 18344
59689 17697
34343 43113
54746 34220
