# Edges within set Cluster 2 (min_conductance_cluster)
# Motif: triangle
# Network: graph_300_650_80.0
# Number of nodes: 19
# Number of edges: 22

50600 14810
50600 51120
26769 18908
26769 50781
22708 41827
22708 43053
41827 43053
50781 18908
10856 14810
10856 51120
18908 34391
18908 55587
47840 6635
47840 50968
34391 54810
34391 55587
14810 51120
34081 14680
34081 29604
54810 55587
50968 6635
14680 29604
