# Edges within set Cluster 1 (cluster_1)
# Motif: triangle
# Network: graph_300_650_80.0
# Number of nodes: 3352
# Number of edges: 57126

33942 25639
33942 25960
33942 34727
33942 37997
33942 46116
33942 50343
33942 50516
33942 58852
33942 59880
18663 18801
18663 21868
18663 22001
18663 26101
18663 26288
18663 26418
18663 26421
18663 26677
18663 26738
18663 26740
18663 26804
18663 26865
18663 26997
18663 27060
18663 27061
18663 27124
18663 27184
18663 30189
18663 30255
18663 30382
18663 30447
18663 30496
18663 30567
18663 30632
18663 30691
18663 30754
18663 30812
18663 30886
18663 31009
18663 31011
18663 31021
18663 31028
18663 31409
18663 34358
18663 34464
18663 34468
18663 34603
18663 34604
18663 34658
18663 34667
18663 34722
18663 34737
18663 34802
18663 34931
18663 35126
18663 35160
18663 35190
18663 35253
18663 37853
18663 38056
18663 38062
18663 38178
18663 38430
18663 38751
18663 38832
18663 38895
18663 39150
18663 39247
18663 39474
18663 39653
18663 42403
18663 42608
18663 42927
18663 42928
18663 43121
18663 43754
18663 45990
18663 46440
18663 46928
18663 47188
18663 47663
18663 51111
18663 51112
18663 54700
18663 55716
18663 55723
18663 55841
18663 59116
18663 59170
18663 59291
33812 5486
33812 18919
33812 23279
33812 26777
33812 31154
33812 51306
33812 51435
33812 54821
33812 58852
33812 59359
30253 9897
30253 14251
30253 17831
30253 17896
30253 18085
30253 18716
30253 18974
30253 21787
30253 25768
30253 27163
30253 37800
30253 39019
30253 39072
30253 42520
30253 50529
30253 51740
30253 63590
30892 18215
30892 18217
30892 18354
30892 18595
30892 18792
30892 21934
30892 21989
30892 22127
30892 22256
30892 22623
30892 22828
30892 22957
30892 23006
30892 23262
30892 25840
30892 26015
30892 26207
30892 26725
30892 26911
30892 29856
30892 30187
30892 33875
30892 34138
30892 34290
30892 34414
30892 34415
30892 34463
30892 34544
30892 34704
30892 34980
30892 35159
30892 35249
30892 35250
30892 35314
30892 35487
30892 38128
30892 38500
30892 38691
30892 38772
30892 38815
30892 41833
30892 41887
30892 41888
30892 41893
30892 42203
30892 42268
30892 43155
30892 43306
30892 46436
30892 47316
30892 50532
30892 50605
30892 51247
30892 51485
30892 51632
30892 51742
30892 54696
30892 55266
30892 55783
30892 59368
31087 22326
31087 26549
31087 30005
31087 30516
31087 30519
31087 30836
31087 30839
31087 39461
31087 39524
31087 39724
31087 46311
31087 47845
31087 50719
31087 55399
50916 9957
50916 13864
50916 14581
50916 17900
50916 18923
50916 18925
50916 22635
50916 22763
50916 22772
50916 25449
50916 26292
50916 30132
50916 33638
50916 34127
50916 34358
50916 35617
50916 38053
50916 38498
50916 39343
50916 42971
50916 47318
50916 47390
50916 51173
50916 51237
50916 51621
50916 51744
50916 54375
50916 54569
50916 54891
50916 55341
50916 58790
50916 59244
50916 59682
50916 59881
50284 17633
50284 17774
50284 17822
50284 18479
50284 18597
50284 18912
50284 22559
50284 22645
50284 23004
50284 25565
50284 25966
50284 26858
50284 26931
50284 27103
50284 27246
50284 30372
50284 35227
50284 38422
50284 38948
50284 42520
50284 46696
50284 47588
50284 50336
50284 50735
50284 50901
50284 51686
30517 9453
30517 17904
30517 18289
30517 18734
30517 18784
30517 18860
30517 18924
30517 18928
30517 22059
30517 22061
30517 22128
30517 22388
30517 22507
30517 22635
30517 22643
30517 22772
30517 26223
30517 26292
30517 26742
30517 26869
30517 30178
30517 30451
30517 30807
30517 31023
30517 31214
30517 34422
30517 34899
30517 38498
30517 39025
30517 39075
30517 43059
30517 43558
30517 46111
30517 46576
30517 47318
30517 47392
30517 47652
30517 47715
30517 51042
30517 51119
30517 51621
30517 51815
30517 54374
30517 54437
30517 54438
30517 54441
30517 54950
30517 54953
30517 55140
30517 55200
30517 59437
30517 59881
25513 10086
25513 14116
25513 18540
25513 18991
25513 22434
25513 25972
25513 26069
25513 26281
25513 27031
25513 30608
25513 33758
25513 34027
25513 34840
25513 34852
25513 35041
25513 35111
25513 35436
25513 39653
25513 46882
25513 47580
25513 50277
25513 50976
25513 51375
25513 54496
25513 54560
25513 55005
42347 6186
42347 17712
42347 17773
42347 17774
42347 17776
42347 18209
42347 21869
42347 21934
42347 21998
42347 22063
42347 22064
42347 22065
42347 22128
42347 22130
42347 22133
42347 22194
42347 22195
42347 22196
42347 22260
42347 22625
42347 22640
42347 22646
42347 22705
42347 22768
42347 22769
42347 22771
42347 22830
42347 22831
42347 22832
42347 25890
42347 30119
42347 30706
42347 30707
42347 30771
42347 30772
42347 30836
42347 30899
42347 30903
42347 31219
42347 35317
42347 37734
42347 38710
42347 39654
42347 45989
42347 46507
42347 46962
42347 47461
42347 47525
42347 50599
42347 51181
42347 54935
42347 55779
42347 55843
42347 55845
42347 55909
42347 59117
42347 59501
42347 59550
42347 59750
42347 59751
39007 14120
39007 17905
39007 21857
39007 22000
39007 25839
39007 26976
39007 29795
39007 29905
39007 30112
39007 33694
39007 33828
39007 34354
39007 34476
39007 34478
39007 34484
39007 34547
39007 34863
39007 34981
39007 35124
39007 35187
39007 35188
39007 38107
39007 38771
39007 42070
39007 42206
39007 42673
39007 42703
39007 42980
39007 43183
39007 43185
39007 43186
39007 43215
39007 46116
39007 50606
39007 50982
39007 51176
39007 51818
39007 55261
39007 55338
39007 55453
39007 55660
39007 58920
30133 6188
30133 14252
30133 14313
30133 17834
30133 17835
30133 18158
30133 18354
30133 18465
30133 18589
30133 18595
30133 18738
30133 18784
30133 18795
30133 18859
30133 18993
30133 21614
30133 21873
30133 22196
30133 22257
30133 22322
30133 22379
30133 22688
30133 22896
30133 26097
30133 26160
30133 26162
30133 26220
30133 26284
30133 26659
30133 26847
30133 26852
30133 26864
30133 26932
30133 27185
30133 27250
30133 27375
30133 30316
30133 30317
30133 30380
30133 30748
30133 31071
30133 33827
30133 34292
30133 34421
30133 34543
30133 34607
30133 34613
30133 34654
30133 34671
30133 34790
30133 34928
30133 34929
30133 34991
30133 35044
30133 35252
30133 35487
30133 37847
30133 38240
30133 38386
30133 38447
30133 38707
30133 38710
30133 39251
30133 41888
30133 41889
30133 42006
30133 42140
30133 42907
30133 43745
30133 43876
30133 47152
30133 50907
30133 51044
30133 51111
30133 51248
30133 51485
30133 51554
30133 51874
30133 55908
30133 59243
30133 59301
30133 59302
30133 59563
35055 14816
35055 27233
35055 30132
35055 30377
35055 42705
35055 51626
35055 59034
13552 14255
13552 14890
13552 18095
13552 18350
13552 22624
13552 23147
13552 26898
13552 30069
13552 34908
13552 42468
13552 43114
13552 43248
13552 43419
13552 51374
13552 55263
13552 55271
13552 55463
13552 58793
47535 1579
47535 14828
47535 17835
47535 18158
47535 18354
47535 18595
47535 21799
47535 21989
47535 22245
47535 22497
47535 22697
47535 23006
47535 25838
47535 25840
47535 26596
47535 26725
47535 26785
47535 26911
47535 26925
47535 27250
47535 34290
47535 34414
47535 34415
47535 34479
47535 34544
47535 34654
47535 34865
47535 34980
47535 35098
47535 35159
47535 35487
47535 35547
47535 38688
47535 38691
47535 38772
47535 38815
47535 39333
47535 41889
47535 41893
47535 41952
47535 42203
47535 42593
47535 43344
47535 46166
47535 46511
47535 46944
47535 50206
47535 50532
47535 50605
47535 50850
47535 51220
47535 51554
47535 51632
47535 51742
38559 18596
38559 18797
38559 22065
38559 22131
38559 22325
38559 22640
38559 22645
38559 22704
38559 22705
38559 22769
38559 22831
38559 22835
38559 23151
38559 25876
38559 26100
38559 26611
38559 26741
38559 26807
38559 29659
38559 30130
38559 30194
38559 30197
38559 30263
38559 30706
38559 30772
38559 30774
38559 30903
38559 30966
38559 31031
38559 31219
38559 31283
38559 34551
38559 37734
38559 38704
38559 39651
38559 45989
38559 46429
38559 47069
38559 47461
38559 47462
38559 47465
38559 51173
38559 51686
38559 51811
38559 51812
38559 54442
38559 54506
38559 55203
38559 55331
38559 55641
38559 55782
38559 55843
38559 55844
38559 55907
38559 55911
38559 59550
38559 59751
38559 59816
22571 26218
22571 34279
22571 38696
22571 43751
22571 51303
22571 51629
22571 55196
55204 1767
55204 10472
55204 21792
55204 25775
55204 26090
55204 26935
55204 30045
55204 31006
55204 31458
55204 33694
55204 34355
55204 34465
55204 34529
55204 34532
55204 34541
55204 42319
55204 50339
55204 51484
55204 51497
